WorkNumber,BarrelBatch,MixingTime1,MixingTime2,MixingTime3,TempSet,SandDischatge_Tem,Packaging_Temp,SandWeight_E,SandWeight_L,SandWeight_E,SandWeight_4C,SandWeight_5V,SandWeight_6C,SandWeight_9R,SandWeight_4V,SandWeight_5C,SandWeight_6V,SandWeight_S5,SandWeight_4R,SandWeight_6R,SandWeight_9V,Resin_RA,Resin_PR877,Resin_K2032,Resin_PR853,Resin_RM893,Resin_RB,Resin_RN815,Resin_KL130,Resin_KL1430L,Resin_KL2031,Resin_Liquid,Hardener_30,Hardener_40,Water,Weight_Calcium,Weight_RedIron,Aumosphere_Temp,Atmosphere_humidty,GrainSize,AFS,UnityPoint,FallingTest,
110000050119 ,4,50,60,15,138,84,32,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,156.0,102.0,0.0,0.0,90.5,0.0,0.00,0.00,0.00,0.00,0.00,6.91,0.00,2.36,0.00,2.28,0.00,5.08,0.00,3.24,0.497,0.00,20,47.1,62.6,59.17,98,223,
110000050265 ,1,50,60,15,138,75,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,97.0,141.0,0.0,89.0,0.0,0.00,0.00,0.00,0.00,0.00,6.73,0.00,2.24,0.00,2.28,0.00,4.89,0.00,3.31,0.486,0.00,21.6,58.7,64,60.07,99,222,
110000050265 ,4,50,60,15,138,80,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5,95.5,139.5,0.0,98.0,0.0,0.00,0.00,0.00,0.00,0.00,6.87,0.00,2.25,0.00,2.25,0.00,4.98,0.00,3.38,0.495,0.00,21.5,58.5,64.8,58.5,99,225,
110000050505 ,1,50,60,15,135,78,39,0.0,0.0,0.0,0.0,108.0,101.5,0.0,0.0,0.0,100.5,0.0,95.5,90.5,0.0,0.00,0.00,0.00,0.00,0.00,6.60,0.00,2.14,0.00,2.24,0.00,4.73,0.00,3.37,0.501,0.00,19.9,43.6,63.8,66.98,98,248,
110000050505 ,4,50,60,15,135,81,39,0.0,0.0,0.0,0.0,104.5,104.0,0.0,0.0,0.0,104.5,0.0,97.0,91.5,0.0,0.00,0.00,0.00,0.00,0.00,6.69,0.00,2.27,0.00,2.20,0.00,4.85,0.00,3.42,0.490,0.00,19.4,43.6,64.5,61.95,98,249,
110000050505 ,18,50,60,15,135,81,40,0.0,0.0,0.0,0.0,108.0,104.0,0.0,0.0,0.0,103.0,0.0,86.0,98.5,0.0,0.00,0.00,0.00,0.00,0.00,6.71,0.00,2.24,0.00,2.20,0.00,4.84,0.00,3.39,0.518,0.00,20,43.5,62.7,66.23,98,246,
110000050565 ,1,50,60,15,138,81,40,0.0,0.0,0.0,0.0,146.5,0.0,0.0,0.0,164.5,94.0,0.0,0.0,90.0,0.0,0.00,0.00,0.00,0.00,0.00,6.93,0.00,2.37,0.00,2.20,0.00,5.01,0.00,3.31,0.481,0.00,22.4,50,64.8,60.9,98,221,
110000050565 ,4,50,60,15,138,82,42,0.0,0.0,0.0,0.0,145.5,0.0,0.0,0.0,164.0,94.5,0.0,0.0,89.5,0.0,0.00,0.00,0.00,0.00,0.00,7.01,0.00,2.34,0.00,2.30,0.00,5.05,0.00,3.33,0.523,0.00,22.2,49.7,65.1,59.02,98,216,
110000050643 ,1,50,60,15,135,78,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.5,143.0,190.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.92,0.00,2.31,0.00,2.27,0.00,4.99,0.00,2.80,0.586,0.00,21.6,62.1,61.3,62.85,98,215,
110000050643 ,4,50,60,15,135,83,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5,147.0,181.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.87,0.00,2.28,0.00,2.29,0.00,4.98,0.00,3.23,0.575,0.00,21.4,62.8,61.7,59.7,98,222,
